CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/07/2019,14:40,BROOKLYN,11223,,,,AVENUE S                        ,EAST 8TH STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4220182,Sedan,Bike,,,
10/01/2019,9:40,,,,,,BROOKLYN BRIDGE                 ,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4217958,Bike,Station Wagon/Sport Utility Vehicle,,,
10/05/2019,19:30,,,40.761623,-73.82208,"(40.761623, -73.82208)",PARSONS BOULEVARD               ,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4219261,Sedan,Bike,,,
10/01/2019,15:00,BROOKLYN,11214,40.60771,-74.00341,"(40.60771, -74.00341)",86 STREET                       ,BAY 17 STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4222502,E-Bik,Sedan,,,
10/03/2019,12:00,,,40.619736,-73.98958,"(40.619736, -73.98958)",18 AVENUE                       ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4217164,Station Wagon/Sport Utility Vehicle,Bike,,,
10/05/2019,14:58,MANHATTAN,10000,40.784473,-73.967224,"(40.784473, -73.967224)",TRANSVERSE ROAD NUMBER THREE    ,WEST DRIVE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4218696,Bike,Bike,,,
10/01/2019,14:00,BROOKLYN,11235,40.586502,-73.960304,"(40.586502, -73.960304)",CONEY ISLAND AVENUE             ,MANOR COURT,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4219116,Bike,,,,
10/07/2019,17:30,BROOKLYN,11211,40.710533,-73.95514,"(40.710533, -73.95514)",RODNEY STREET                   ,BORINQUEN PLACE,,1,0,0,0,1,0,0,0,Following Too Closely,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4219552,Station Wagon/Sport Utility Vehicle,Bike,,,
10/06/2019,19:15,BROOKLYN,11221,40.6977,-73.93296,"(40.6977, -73.93296)",,,651       BUSHWICK AVENUE               ,1,0,0,0,1,0,0,0,Brakes Defective,Unspecified,,,,4219170,Sedan,E-Sco,,,
10/05/2019,13:54,BROOKLYN,11203,40.653744,-73.93162,"(40.653744, -73.93162)",EAST 49 STREET                  ,LINDEN BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4220438,Station Wagon/Sport Utility Vehicle,Bike,,,
10/03/2019,14:40,BRONX,10458,40.85941,-73.892265,"(40.85941, -73.892265)",EAST 188 STREET                 ,PARK AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4219141,Sedan,Bike,,,
10/06/2019,11:55,QUEENS,11103,40.760567,-73.9155,"(40.760567, -73.9155)",31 AVENUE                       ,42 STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4218780,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,17:30,BROOKLYN,11211,40.714214,-73.94773,"(40.714214, -73.94773)",METROPOLITAN AVENUE             ,LEONARD STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4216395,Sedan,Bike,,,
10/05/2019,22:15,,,40.734253,-74.002975,"(40.734253, -74.002975)",WEST 10 STREET                  ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4218163,Station Wagon/Sport Utility Vehicle,Bike,,,
10/06/2019,23:33,MANHATTAN,10019,40.764168,-73.98474,"(40.764168, -73.98474)",8 AVENUE                        ,WEST 53 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4219048,Taxi,Bike,,,
10/04/2019,12:35,BROOKLYN,11212,40.66659,-73.9032,"(40.66659, -73.9032)",BLAKE AVENUE                    ,POWELL STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4220868,Pick-up Truck,Bike,,,
10/04/2019,17:15,BRONX,10451,40.81084,-73.92764,"(40.81084, -73.92764)",,,2535      3 AVENUE                      ,1,0,0,0,1,0,0,0,Unspecified,,,,,4217830,E-Sco,,,,
10/01/2019,14:25,,,40.802074,-73.93407,"(40.802074, -73.93407)",EAST 124 STREET                 ,2 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,,,,,4219249,Bike,,,,
10/04/2019,19:36,QUEENS,11368,40.755337,-73.843254,"(40.755337, -73.843254)",126 STREET                      ,ROOSEVELT AVENUE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4218631,Station Wagon/Sport Utility Vehicle,E-Bik,,,
10/06/2019,18:23,MANHATTAN,10038,40.709503,-74.00167,"(40.709503, -74.00167)",PEARL STREET                    ,DOVER STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4219951,Sedan,Bike,,,
10/06/2019,21:30,QUEENS,11105,40.772583,-73.91036,"(40.772583, -73.91036)",23 AVENUE                       ,36 STREET,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4218805,Station Wagon/Sport Utility Vehicle,Bike,,,
10/02/2019,18:59,QUEENS,11377,40.735172,-73.898705,"(40.735172, -73.898705)",,,66-18     MAURICE AVENUE                ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4217100,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,16:30,QUEENS,11377,40.734848,-73.90002,"(40.734848, -73.90002)",MAURICE AVENUE                  ,65 PLACE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4215959,Bike,Pick-up Truck,,,
10/02/2019,17:30,BROOKLYN,11210,40.63158,-73.94755,"(40.63158, -73.94755)",AVENUE H                        ,NOSTRAND AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4217154,Sedan,Bike,,,
10/01/2019,9:50,,,40.78905,-73.97031,"(40.78905, -73.97031)",COLUMBUS AVENUE                 ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4216116,Sedan,E-Bik,,,
10/05/2019,21:11,BROOKLYN,11230,40.62508,-73.962326,"(40.62508, -73.962326)",AVENUE J                        ,EAST 14 STREET,,1,0,0,0,1,0,0,0,Backing Unsafely,Unspecified,,,,4218392,Station Wagon/Sport Utility Vehicle,E-Sco,,,
10/01/2019,21:15,QUEENS,11419,40.69056,-73.8141,"(40.69056, -73.8141)",LIBERTY AVENUE                  ,132 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4216015,Sedan,Bike,,,
10/01/2019,13:45,BRONX,10468,40.871174,-73.891106,"(40.871174, -73.891106)",MINERVA PLACE                   ,CRESTON AVENUE,,1,0,0,0,1,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4216654,E-Sco,Station Wagon/Sport Utility Vehicle,,,
10/01/2019,8:30,QUEENS,11417,40.680622,-73.84302,"(40.680622, -73.84302)",,,96-05     LIBERTY AVENUE                ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4215714,Station Wagon/Sport Utility Vehicle,Bike,,,
10/03/2019,18:14,BROOKLYN,11230,40.609493,-73.97312,"(40.609493, -73.97312)",,,1795      MC DONALD AVENUE              ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4218966,Bike,Station Wagon/Sport Utility Vehicle,,,
10/04/2019,7:40,BROOKLYN,11235,40.589985,-73.95568,"(40.589985, -73.95568)",AVENUE Y                        ,EAST 14 STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4217484,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,17:09,,,40.81207,-73.93603,"(40.81207, -73.93603)",EAST 135 STREET                 ,MADISON AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4219978,Box Truck,E-Sco,,,
10/01/2019,20:05,MANHATTAN,10028,40.77461,-73.94809,"(40.77461, -73.94809)",EAST 84 STREET                  ,YORK AVENUE,,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,4216089,Station Wagon/Sport Utility Vehicle,Bike,,,
10/02/2019,11:00,BROOKLYN,11225,40.65889,-73.960526,"(40.65889, -73.960526)",,,597       FLATBUSH AVENUE               ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4216304,Sedan,Bike,,,
10/06/2019,17:16,MANHATTAN,10025,40.79599,-73.96896,"(40.79599, -73.96896)",WEST 99 STREET                  ,AMSTERDAM AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4220262,Bike,,,,
10/05/2019,21:20,,,40.825573,-73.918465,"(40.825573, -73.918465)",EAST 161 STREET                 ,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unsafe Speed,,,,4218528,Station Wagon/Sport Utility Vehicle,Bike,,,
10/07/2019,19:00,BROOKLYN,11214,40.597477,-73.986465,"(40.597477, -73.986465)",86 STREET                       ,BAY 40 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4221197,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
10/03/2019,6:15,QUEENS,11385,40.700497,-73.90021,"(40.700497, -73.90021)",MYRTLE AVENUE                   ,FOREST AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4218275,Sedan,Bike,,,
10/07/2019,20:33,BROOKLYN,11207,40.658253,-73.87776,"(40.658253, -73.87776)",,,400       COZINE AVENUE                 ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4219797,Sedan,Bike,,,
10/02/2019,13:40,QUEENS,11377,40.744537,-73.911255,"(40.744537, -73.911255)",,,53-22     ROOSEVELT AVENUE              ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4216477,Station Wagon/Sport Utility Vehicle,Bike,,,
10/07/2019,22:45,MANHATTAN,10001,40.746037,-73.990524,"(40.746037, -73.990524)",WEST 28 STREET                  ,AVENUE OF THE AMERICAS,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4221849,Sedan,Bike,,,
10/04/2019,22:40,BROOKLYN,11226,40.639305,-73.95898,"(40.639305, -73.95898)",OCEAN AVENUE                    ,DITMAS AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4218391,Sedan,E-Sco,,,
10/28/2019,15:30,QUEENS,11378,,,,GRAND AVENUE                    ,57 DRIVE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4231289,Sedan,Bike,,,
10/04/2019,13:10,,,40.753387,-73.99631,"(40.753387, -73.99631)",WEST 34 STREET                  ,,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4218396,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,16:00,,,40.846825,-73.89705,"(40.846825, -73.89705)",EAST TREMONT AVENUE             ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4216768,Sedan,Bike,,,
10/07/2019,22:00,BROOKLYN,11207,40.66841,-73.90167,"(40.66841, -73.90167)",VAN SIDERIN AVENUE              ,SUTTER AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4219804,Station Wagon/Sport Utility Vehicle,E-Sco,,,
10/01/2019,15:00,BROOKLYN,11220,40.644547,-74.01091,"(40.644547, -74.01091)",51 STREET                       ,5 AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4215944,Bike,Sedan,,,
10/06/2019,18:00,,,40.81394,-73.948425,"(40.81394, -73.948425)",8 AVENUE                        ,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4219044,Bike,,,,
10/04/2019,17:00,QUEENS,11412,40.696667,-73.750175,"(40.696667, -73.750175)",203 STREET                      ,116 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,,,,,4218080,Bike,,,,
10/07/2019,12:50,,,,,,BROOKLYN BRIDGE                 ,,,1,0,0,0,1,0,0,0,Following Too Closely,,,,,4219478,Bike,,,,
10/02/2019,15:40,QUEENS,11416,40.684456,-73.85966,"(40.684456, -73.85966)",81 STREET                       ,ROCKAWAY BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4217190,E-Bik,Sedan,,,
10/07/2019,19:02,,,40.667835,-73.89484,"(40.667835, -73.89484)",BLAKE AVENUE                    ,,,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,,,,4219795,E-Sco,,,,
10/04/2019,6:00,BROOKLYN,11207,40.67298,-73.88852,"(40.67298, -73.88852)",SCHENCK AVENUE                  ,PITKIN AVENUE,,1,0,0,0,1,0,0,0,Unspecified,,,,,4218578,Bike,,,,
10/05/2019,11:19,MANHATTAN,10023,40.776016,-73.98724,"(40.776016, -73.98724)",WEST END AVENUE                 ,WEST 66 STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,4220800,Bike,Taxi,,,
10/04/2019,18:45,QUEENS,11691,40.605618,-73.75666,"(40.605618, -73.75666)",MOTT AVENUE                     ,GRASSMERE TERRACE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Reaction to Uninvolved Vehicle,,,,4227406,Bike,Taxi,,,
10/01/2019,12:59,MANHATTAN,10065,40.763428,-73.96522,"(40.763428, -73.96522)",3 AVENUE                        ,EAST 62 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4216312,Taxi,Bike,,,
10/05/2019,16:30,QUEENS,11434,40.65705,-73.76746,"(40.65705, -73.76746)",BREWER BOULEVARD                ,150 AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4218029,Sedan,Bike,,,
10/07/2019,22:45,,,40.774853,-73.98067,"(40.774853, -73.98067)",COLUMBUS AVENUE                 ,,,1,0,0,0,1,0,0,0,View Obstructed/Limited,Driver Inattention/Distraction,,,,4220219,Bike,,,,
10/04/2019,13:55,,,40.66747,-73.9396,"(40.66747, -73.9396)",PRESIDENT STREET                ,,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4217682,Sedan,Bike,,,
10/02/2019,11:27,BRONX,10459,40.826763,-73.88842,"(40.826763, -73.88842)",,,1029      EAST 167 STREET               ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4216631,Sedan,Bike,,,
10/02/2019,17:50,MANHATTAN,10027,40.81055,-73.95088,"(40.81055, -73.95088)",,,2340      8 AVENUE                      ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4216551,E-Bik,Taxi,,,
10/04/2019,13:00,BROOKLYN,11206,40.70191,-73.93699,"(40.70191, -73.93699)",BUSHWICK AVENUE                 ,FLUSHING AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4218879,E-Sco,Carry All,,,
10/02/2019,13:43,QUEENS,11105,40.779728,-73.90631,"(40.779728, -73.90631)",31 STREET                       ,20 AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4216873,Carry All,Bike,,,
10/06/2019,18:47,MANHATTAN,10075,40.776318,-73.962135,"(40.776318, -73.962135)",MADISON AVENUE                  ,EAST 79 STREET,,1,0,0,0,1,0,0,0,Pavement Slippery,,,,,4218887,E-Sco,,,,
10/01/2019,17:35,QUEENS,11369,40.764904,-73.88138,"(40.764904, -73.88138)",,,24-21     88 STREET                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4215940,Bike,Station Wagon/Sport Utility Vehicle,,,
10/03/2019,23:33,MANHATTAN,10019,40.76142,-73.984055,"(40.76142, -73.984055)",WEST 50 STREET                  ,BROADWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4217416,Bike,,,,
10/05/2019,14:20,MANHATTAN,10036,40.76075,-73.98832,"(40.76075, -73.98832)",,,320       WEST 47 STREET                ,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4219699,Bike,,,,
10/07/2019,15:15,MANHATTAN,10024,40.787792,-73.97123,"(40.787792, -73.97123)",WEST 88 STREET                  ,COLUMBUS AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4223293,Bike,,,,
10/02/2019,18:03,MANHATTAN,10012,,,,BOWERY                          ,HOUSTON ST,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4216790,Taxi,Bike,,,
10/06/2019,20:30,QUEENS,11354,40.759567,-73.83015,"(40.759567, -73.83015)",ROOSEVELT AVENUE                ,MAIN STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4218553,Sedan,Bike,,,
10/01/2019,14:15,MANHATTAN,10016,,,,5 avenue                        ,40 street,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4218412,Taxi,Bike,,,
10/06/2019,14:41,MANHATTAN,10030,40.822834,-73.941925,"(40.822834, -73.941925)",WEST 145 STREET                 ,8 AVENUE,,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,4218998,Sedan,Bike,,,
10/05/2019,15:05,,,40.668663,-73.962006,"(40.668663, -73.962006)",WASHINGTON AVENUE               ,,,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,4218148,Taxi,E-Sco,,,
10/06/2019,1:47,BROOKLYN,11207,40.67298,-73.88852,"(40.67298, -73.88852)",SCHENCK AVENUE                  ,PITKIN AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4218184,Station Wagon/Sport Utility Vehicle,Bike,,,
10/03/2019,1:44,BROOKLYN,11206,40.696983,-73.935234,"(40.696983, -73.935234)",MYRTLE AVENUE                   ,BROADWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4221607,Taxi,E-Sco,,,
10/07/2019,6:20,,,,,,perimeter road                  ,Grand Central Parkway,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4219521,Sedan,Bike,,,
10/03/2019,20:30,QUEENS,11368,40.75592,-73.86417,"(40.75592, -73.86417)",,,104-14    34 AVENUE                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4224761,Bike,Station Wagon/Sport Utility Vehicle,,,
10/04/2019,15:45,,,40.67578,-74.0014,"(40.67578, -74.0014)",WEST 9 STREET                   ,HAMILTON AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4218126,Sedan,Bike,,,
10/06/2019,19:10,BROOKLYN,11211,40.711246,-73.947975,"(40.711246, -73.947975)",,,602       GRAND STREET                  ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4218929,Station Wagon/Sport Utility Vehicle,E-Sco,,,
10/02/2019,0:00,BROOKLYN,11232,40.651264,-74.003914,"(40.651264, -74.003914)",5 AVENUE                        ,39 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4216529,Bike,Station Wagon/Sport Utility Vehicle,,,
10/07/2019,17:00,BROOKLYN,11208,40.675297,-73.87268,"(40.675297, -73.87268)",PITKIN AVENUE                   ,DOSCHER STREET,,2,0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4234160,Taxi,Bike,,,
10/04/2019,21:50,QUEENS,11417,40.67697,-73.836296,"(40.67697, -73.836296)",BOSS STREET                     ,133 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4217754,Station Wagon/Sport Utility Vehicle,Bike,,,
10/04/2019,12:15,BROOKLYN,11235,40.58754,-73.93166,"(40.58754, -73.93166)",,,2727      KNAPP STREET                  ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4217540,Bike,Sedan,,,
10/01/2019,16:45,BROOKLYN,11203,40.651276,-73.94003,"(40.651276, -73.94003)",EAST 40 STREET                  ,CHURCH AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Other Vehicular,,,,4215975,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,20:00,,,40.806355,-73.953964,"(40.806355, -73.953964)",WEST 119 STREET                 ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4216483,Station Wagon/Sport Utility Vehicle,Bike,,,
10/03/2019,21:40,QUEENS,11368,40.74957,-73.865654,"(40.74957, -73.865654)",,,100-15    ROOSEVELT AVENUE              ,3,0,0,0,3,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4217437,E-Sco,Station Wagon/Sport Utility Vehicle,,,
10/04/2019,12:40,BROOKLYN,11217,40.679333,-73.97533,"(40.679333, -73.97533)",PROSPECT PLACE                  ,6 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4217550,Bike,Station Wagon/Sport Utility Vehicle,,,
10/01/2019,17:45,MANHATTAN,10012,40.726357,-73.99357,"(40.726357, -73.99357)",,,25        BOND STREET                   ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,4216121,Van,Bike,,,
10/01/2019,11:23,MANHATTAN,10011,40.740208,-73.99479,"(40.740208, -73.99479)",,,625       AVENUE OF THE AMERICAS        ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4215800,Sedan,Bike,,,
10/03/2019,22:45,MANHATTAN,10033,40.85111,-73.93061,"(40.85111, -73.93061)",AUDUBON AVENUE                  ,WEST 185 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4221037,Station Wagon/Sport Utility Vehicle,Bike,,,
10/01/2019,19:02,BRONX,10457,40.846733,-73.90649,"(40.846733, -73.90649)",MONROE AVENUE                   ,EAST 175 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4216248,Station Wagon/Sport Utility Vehicle,Bike,,,
10/04/2019,8:40,MANHATTAN,10022,40.759575,-73.96803,"(40.759575, -73.96803)",EAST 56 STREET                  ,3 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,,,,,4218137,Bike,,,,
10/06/2019,12:22,,,40.790367,-73.949776,"(40.790367, -73.949776)",EAST 102 STREET                 ,,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,,4221494,Bike,Sedan,,,
